iter	Passed	Remaining
0	157	156963
1	162	81207
2	164	54629
3	166	41345
4	167	33392
5	171	28489
6	175	24829
7	176	21916
8	179	19717
9	180	17877
10	182	16389
11	188	15502
12	190	14463
13	192	13536
14	193	12709
15	194	11974
16	195	11316
17	196	10745
18	199	10314
19	200	9846
20	202	9417
21	203	9029
22	204	8674
23	209	8503
24	211	8230
25	213	8014
26	216	7807
27	217	7561
28	219	7353
29	220	7135
30	221	6927
31	222	6731
32	225	6608
33	226	6447
34	228	6298
35	230	6169
36	231	6032
37	235	5959
38	236	5829
39	237	5706
40	239	5600
41	240	5483
42	241	5369
43	242	5264
44	245	5215
45	247	5134
46	248	5041
47	249	4951
48	250	4868
49	253	4808
50	254	4727
51	255	4648
52	255	4571
53	258	4523
54	260	4483
55	261	4415
56	262	4349
57	264	4293
58	265	4235
59	266	4174
60	267	4115
61	268	4058
62	269	4003
63	270	3949
64	272	3914
65	275	3897
66	276	3849
67	277	3802
68	278	3757
69	279	3714
70	280	3670
71	281	3627
72	282	3585
73	283	3544
74	284	3504
75	285	3469
76	289	3468
77	290	3435
78	291	3402
79	292	3367
80	293	3332
81	294	3299
82	295	3263
83	296	3237
84	297	3207
85	299	3182
86	300	3155
87	304	3157
88	306	3132
89	307	3111
90	308	3084
91	309	3058
92	311	3034
93	312	3010
94	313	2990
95	314	2965
96	319	2977
97	321	2960
98	323	2942
99	324	2919
100	327	2913
101	329	2897
102	330	2875
103	331	2852
104	333	2845
105	335	2831
106	336	2810
107	337	2789
108	338	2767
109	339	2747
110	340	2726
111	341	2706
112	342	2686
113	343	2667
114	344	2648
115	344	2628
116	346	2612
117	347	2596
118	349	2587
119	350	2569
120	351	2551
121	351	2532
122	352	2516
123	353	2499
124	354	2482
125	355	2466
126	356	2449
127	357	2433
128	358	2420
129	359	2408
130	362	2402
131	363	2391
132	364	2376
133	365	2362
134	366	2348
135	367	2334
136	368	2320
137	369	2306
138	370	2292
139	370	2278
140	371	2265
141	372	2250
142	407	2439
143	410	2437
144	411	2427
145	412	2413
146	413	2400
147	414	2387
148	415	2373
149	416	2360
150	417	2346
151	418	2333
152	419	2320
153	420	2308
154	421	2295
155	421	2282
156	424	2279
157	426	2270
158	427	2259
159	428	2248
160	428	2234
161	429	2223
162	430	2211
163	431	2200
164	432	2189
165	433	2178
166	434	2166
167	435	2155
168	436	2144
169	437	2138
170	440	2134
171	441	2124
172	442	2113
173	443	2103
174	443	2092
175	444	2082
176	445	2073
177	447	2064
178	448	2055
179	448	2045
180	449	2036
181	451	2027
182	452	2019
183	453	2012
184	454	2002
185	455	1993
186	456	1984
187	457	1975
188	458	1966
189	459	1958
190	460	1949
191	461	1941
192	462	1932
193	463	1923
194	463	1915
195	464	1907
196	465	1899
197	467	1893
198	468	1886
199	469	1878
200	470	1869
201	471	1862
202	472	1854
203	473	1847
204	474	1839
205	475	1833
206	476	1826
207	477	1818
208	478	1811
209	479	1804
210	480	1796
211	481	1790
212	483	1784
213	484	1778
214	485	1771
215	486	1764
216	487	1758
217	488	1750
218	489	1744
219	490	1737
220	491	1730
221	492	1724
222	493	1717
223	494	1711
224	494	1704
225	495	1698
226	497	1694
227	498	1687
228	499	1681
229	500	1675
230	501	1668
231	502	1662
232	503	1656
233	504	1650
234	505	1644
235	505	1637
236	506	1631
237	507	1625
238	508	1619
239	509	1613
240	510	1607
241	512	1605
242	513	1599
243	514	1594
244	515	1588
245	516	1582
246	517	1576
247	518	1571
248	518	1565
249	519	1559
250	520	1554
251	521	1548
252	522	1542
253	523	1537
254	524	1531
255	525	1526
256	526	1522
257	528	1519
258	529	1514
259	530	1509
260	531	1504
261	532	1499
262	533	1494
263	534	1489
264	535	1484
265	536	1479
266	537	1474
267	537	1469
268	538	1464
269	539	1459
270	540	1454
271	542	1451
272	543	1446
273	543	1441
274	544	1436
275	545	1431
276	546	1426
277	547	1422
278	548	1417
279	549	1412
280	550	1408
281	551	1403
282	552	1398
283	552	1394
284	553	1389
285	554	1385
286	556	1382
287	557	1378
288	558	1374
289	559	1369
290	560	1365
291	561	1360
292	562	1356
293	563	1352
294	563	1347
295	564	1343
296	565	1339
297	566	1334
298	567	1330
299	568	1326
300	569	1323
301	571	1320
302	572	1317
303	573	1313
304	574	1309
305	575	1305
306	576	1301
307	577	1297
308	578	1293
309	579	1289
310	580	1285
311	581	1281
312	582	1277
313	583	1274
314	584	1270
315	585	1267
316	586	1263
317	587	1259
318	588	1256
319	589	1253
320	590	1249
321	591	1245
322	592	1242
323	593	1238
324	594	1234
325	595	1231
326	596	1227
327	597	1223
328	598	1220
329	599	1216
330	623	1260
331	625	1258
332	627	1256
333	628	1253
334	630	1251
335	631	1247
336	633	1246
337	635	1244
338	636	1241
339	637	1237
340	638	1234
341	640	1231
342	641	1228
343	642	1224
344	642	1220
345	643	1216
346	644	1213
347	647	1213
348	649	1212
349	650	1208
350	651	1204
351	652	1201
352	654	1198
353	655	1195
